locationId,name,area,type,latitude,longitude
LOC001,NNB (Noguchi Memorial Institute),East Legon,Research Center,5.6595,-0.1661
LOC002,JQB Auditorium,Main Campus,Auditorium,5.6503,-0.1872
LOC003,Central Cafeteria (CC),Main Campus,Dining,5.6512,-0.1853
LOC004,Balme Library,Main Campus,Library,5.6519,-0.186
LOC005,Legon Hall,Main Campus,Hall of Residence,5.651,-0.1869
LOC006,Mensah Sarbah Hall,Main Campus,Hall of Residence,5.6523,-0.1864
LOC007,UGBS (Business School),Main Campus,Academic Building,5.6506,-0.1842
LOC008,School of Engineering,Main Campus,Academic Building,5.6508,-0.1848
LOC009,Dept. of Computer Science,Main Campus,Academic Building,5.6515,-0.1855
LOC010,International Students Hostel,Main Campus,Hostel,5.654,-0.1875
LOC011,UG Stadium,Main Campus,Sports Facility,5.6485,-0.1877
LOC012,Great Hall,Main Campus,Auditorium,5.6526,-0.1866
LOC013,Cedi House,Main Campus,Admin Building,5.6535,-0.1871
LOC014,Volta Hall,Main Campus,Hall of Residence,5.6513,-0.186
LOC015,School of Law,Main Campus,Academic Building,5.6502,-0.1845
LOC016,School of Performing Arts,Main Campus,Academic Building,5.6516,-0.185
LOC017,Department of Economics,Main Campus,Academic Building,5.6509,-0.1843
LOC018,Department of Geography,Main Campus,Academic Building,5.6511,-0.1847
LOC019,Department of History,Main Campus,Academic Building,5.6514,-0.1851
LOC020,Department of Political Science,Main Campus,Academic Building,5.6507,-0.1844
LOC021,Department of Sociology,Main Campus,Academic Building,5.651,-0.1846
LOC022,Department of Mathematics,Main Campus,Academic Building,5.6505,-0.1841
LOC023,Department of Physics,Main Campus,Academic Building,5.6504,-0.184
LOC024,Department of Chemistry,Main Campus,Academic Building,5.6503,-0.1839
LOC025,Department of Biology,Main Campus,Academic Building,5.6502,-0.1838
LOC026,Department of Geology,Main Campus,Academic Building,5.6501,-0.1837
LOC027,Department of Philosophy,Main Campus,Academic Building,5.6512,-0.1852
LOC028,Department of Psychology,Main Campus,Academic Building,5.6513,-0.1853
LOC029,Department of Linguistics,Main Campus,Academic Building,5.6514,-0.1854
LOC030,Department of English,Main Campus,Academic Building,5.6515,-0.1855
LOC031,Department of French,Main Campus,Academic Building,5.6516,-0.1856
LOC032,Department of Spanish,Main Campus,Academic Building,5.6517,-0.1857
LOC033,Department of German,Main Campus,Academic Building,5.6518,-0.1858
LOC034,Department of Russian,Main Campus,Academic Building,5.6519,-0.1859
LOC035,Department of Arabic,Main Campus,Academic Building,5.652,-0.186
LOC036,Department of Chinese,Main Campus,Academic Building,5.6521,-0.1861
LOC037,Department of Japanese,Main Campus,Academic Building,5.6522,-0.1862
LOC038,Department of Korean,Main Campus,Academic Building,5.6523,-0.1863
LOC039,Department of Italian,Main Campus,Academic Building,5.6524,-0.1864
LOC040,Department of Portuguese,Main Campus,Academic Building,5.6525,-0.1865
LOC041,Department of Greek,Main Campus,Academic Building,5.6526,-0.1866
LOC042,Department of Latin,Main Campus,Academic Building,5.6527,-0.1867
LOC043,Department of Hebrew,Main Campus,Academic Building,5.6528,-0.1868
LOC044,Department of Sanskrit,Main Campus,Academic Building,5.6529,-0.1869
LOC045,Department of Pali,Main Campus,Academic Building,5.653,-0.187
LOC046,Department of Prakrit,Main Campus,Academic Building,5.6531,-0.1871
LOC047,Department of Aramaic,Main Campus,Academic Building,5.6532,-0.1872
LOC048,Department of Syriac,Main Campus,Academic Building,5.6533,-0.1873
LOC049,Department of Coptic,Main Campus,Academic Building,5.6534,-0.1874
LOC050,Department of Ethiopian,Main Campus,Academic Building,5.6535,-0.1875
LOC051,Department of Swahili,Main Campus,Academic Building,5.6536,-0.1876
