fromLocationId,toLocationId,distance,travelTime,roadConditionWeight
LOC001,LOC002,2500,8,2
LOC002,LOC003,600,2,1
LOC003,LOC004,450,1.5,1.5
LOC004,LOC005,700,2.5,1.5
LOC005,LOC006,800,3,3
LOC006,LOC007,950,3.5,2.5
LOC007,LOC008,420,1.5,1.5
LOC008,LOC009,350,1,1
LOC009,LOC010,1200,4.5,2
LOC010,LOC011,900,3,3.5
LOC011,LOC012,600,2,1.5
LOC012,LOC013,450,1.5,2
LOC013,LOC014,500,2,1
LOC014,LOC015,850,3,2.5
LOC015,LOC016,700,2.5,2
LOC016,LOC017,300,1,1
LOC017,LOC018,400,1.5,1.5
LOC018,LOC019,500,2,2
LOC019,LOC020,550,2,1.5
LOC020,LOC021,600,2.5,2.5
LOC021,LOC022,650,2.5,1.5
LOC022,LOC023,700,3,2
LOC023,LOC024,750,3,2.5
LOC024,LOC025,800,3.5,1.5
LOC025,LOC026,850,3.5,2
LOC026,LOC027,900,4,2.5
LOC027,LOC028,950,4,1.5
LOC028,LOC029,1000,4.5,2
LOC029,LOC030,1050,4.5,2.5
LOC030,LOC031,1100,5,1.5
LOC031,LOC032,1150,5,2
LOC032,LOC033,1200,5.5,2.5
LOC033,LOC034,1250,5.5,1.5
LOC034,LOC035,1300,6,2
LOC035,LOC036,1350,6,2.5
LOC036,LOC037,1400,6.5,1.5
LOC037,LOC038,1450,6.5,2
LOC038,LOC039,1500,7,2.5
LOC039,LOC040,1550,7,1.5
LOC040,LOC041,1600,7.5,2
LOC041,LOC042,1650,7.5,2.5
LOC042,LOC043,1700,8,1.5
LOC043,LOC044,1750,8,2
LOC044,LOC045,1800,8.5,2.5
LOC045,LOC046,1850,8.5,1.5
LOC046,LOC047,1900,9,2
LOC047,LOC048,1950,9,2.5
LOC048,LOC049,2000,9.5,1.5
LOC049,LOC050,2050,9.5,2
LOC050,LOC051,2100,10,2.5
LOC002,LOC004,800,3,2
LOC003,LOC005,1000,4,1
LOC004,LOC006,1100,4.5,2.5
LOC005,LOC007,900,3.5,1.5
LOC006,LOC008,1200,5,2
LOC007,LOC009,750,3,1.5
LOC008,LOC010,900,3.5,2.5
LOC009,LOC011,850,3,1
LOC010,LOC012,950,4,2
LOC011,LOC013,700,2.5,1.5
LOC012,LOC014,800,3,2.5
LOC013,LOC015,900,3.5,2
LOC014,LOC016,750,3,1.5
LOC015,LOC017,600,2.5,2
LOC016,LOC018,650,2.5,1.5
LOC017,LOC019,700,3,2.5
LOC018,LOC020,550,2,1.5
LOC019,LOC021,600,2.5,2
LOC020,LOC022,650,2.5,1.5
LOC021,LOC023,700,3,2.5
LOC022,LOC024,750,3,1.5
LOC023,LOC025,800,3.5,2
LOC024,LOC026,850,3.5,1.5
LOC025,LOC027,900,4,2.5
LOC026,LOC028,950,4,1.5
LOC027,LOC029,1000,4.5,2
LOC028,LOC030,1050,4.5,2.5
LOC029,LOC031,1100,5,1.5
LOC030,LOC032,1150,5,2
LOC031,LOC033,1200,5.5,2.5
LOC032,LOC034,1250,5.5,1.5
LOC033,LOC035,1300,6,2
LOC034,LOC036,1350,6,2.5
LOC035,LOC037,1400,6.5,1.5
LOC036,LOC038,1450,6.5,2
LOC037,LOC039,1500,7,2.5
LOC038,LOC040,1550,7,1.5
LOC039,LOC041,1600,7.5,2
LOC040,LOC042,1650,7.5,2.5
LOC041,LOC043,1700,8,1.5
LOC042,LOC044,1750,8,2
LOC043,LOC045,1800,8.5,2.5
LOC044,LOC046,1850,8.5,1.5
LOC045,LOC047,1900,9,2
LOC046,LOC048,1950,9,2.5
LOC047,LOC049,2000,9.5,1.5
LOC048,LOC050,2050,9.5,2
LOC049,LOC051,2100,10,2.5
LOC050,LOC001,3000,12,3
LOC051,LOC002,2800,11,2
